id,date,season,year,month,holiday,weekday,workingday,weather,atemp,casual,registered,count
1,2011-01-01,springer,2011,Januari,not holiday,saturday,restday,mist & cloudy,0.363625,331,654,985
2,2011-01-02,springer,2011,Januari,not holiday,sunday,restday,mist & cloudy,0.353739,131,670,801
3,2011-01-03,springer,2011,Januari,not holiday,monday,workday,clear & partly cloudy,0.189405,120,1229,1349
4,2011-01-04,springer,2011,Januari,not holiday,tuesday,workday,clear & partly cloudy,0.212122,108,1454,1562
5,2011-01-05,springer,2011,Januari,not holiday,wednesday,workday,clear & partly cloudy,0.22927,82,1518,1600
6,2011-01-06,springer,2011,Januari,not holiday,thursday,workday,clear & partly cloudy,0.233209,88,1518,1606
7,2011-01-07,springer,2011,Januari,not holiday,friday,workday,mist & cloudy,0.208839,148,1362,1510
8,2011-01-08,springer,2011,Januari,not holiday,saturday,restday,mist & cloudy,0.162254,68,891,959
9,2011-01-09,springer,2011,Januari,not holiday,sunday,restday,clear & partly cloudy,0.116175,54,768,822
10,2011-01-10,springer,2011,Januari,not holiday,monday,workday,clear & partly cloudy,0.150888,41,1280,1321
11,2011-01-11,springer,2011,Januari,not holiday,tuesday,workday,mist & cloudy,0.191464,43,1220,1263
12,2011-01-12,springer,2011,Januari,not holiday,wednesday,workday,clear & partly cloudy,0.160473,25,1137,1162
13,2011-01-13,springer,2011,Januari,not holiday,thursday,workday,clear & partly cloudy,0.150883,38,1368,1406
14,2011-01-14,springer,2011,Januari,not holiday,friday,workday,clear & partly cloudy,0.188413,54,1367,1421
15,2011-01-15,springer,2011,Januari,not holiday,saturday,restday,mist & cloudy,0.248112,222,1026,1248
16,2011-01-16,springer,2011,Januari,not holiday,sunday,restday,clear & partly cloudy,0.234217,251,953,1204
17,2011-01-17,springer,2011,Januari,holiday,monday,restday,mist & cloudy,0.176771,117,883,1000
18,2011-01-18,springer,2011,Januari,not holiday,tuesday,workday,mist & cloudy,0.232333,9,674,683
19,2011-01-19,springer,2011,Januari,not holiday,wednesday,workday,mist & cloudy,0.298422,78,1572,1650
20,2011-01-20,springer,2011,Januari,not holiday,thursday,workday,mist & cloudy,0.25505,83,1844,1927
21,2011-01-21,springer,2011,Januari,not holiday,friday,workday,clear & partly cloudy,0.157833,75,1468,1543
22,2011-01-22,springer,2011,Januari,not holiday,saturday,restday,clear & partly cloudy,0.0790696,93,888,981
23,2011-01-23,springer,2011,Januari,not holiday,sunday,restday,clear & partly cloudy,0.0988391,150,836,986
24,2011-01-24,springer,2011,Januari,not holiday,monday,workday,clear & partly cloudy,0.11793,86,1330,1416
25,2011-01-25,springer,2011,Januari,not holiday,tuesday,workday,mist & cloudy,0.234526,186,1799,1985
