id,date,season,year,month,hour,holiday,weekday,workingday,weather,atemp,casual,registered,count,kategori_atemp
1,2011-01-01,springer,2011,1,12 am,not holiday,saturday,restday,clear & partly cloudy,0.2879,3,13,16,Dingin
2,2011-01-01,springer,2011,1,1 am,not holiday,saturday,restday,clear & partly cloudy,0.2727,8,32,40,Dingin
3,2011-01-01,springer,2011,1,2 am,not holiday,saturday,restday,clear & partly cloudy,0.2727,5,27,32,Dingin
4,2011-01-01,springer,2011,1,3 am,not holiday,saturday,restday,clear & partly cloudy,0.2879,3,10,13,Dingin
5,2011-01-01,springer,2011,1,4 am,not holiday,saturday,restday,clear & partly cloudy,0.2879,0,1,1,Dingin
6,2011-01-01,springer,2011,1,5 am,not holiday,saturday,restday,mist & cloudy,0.2576,0,1,1,Dingin
7,2011-01-01,springer,2011,1,6 am,not holiday,saturday,restday,clear & partly cloudy,0.2727,2,0,2,Dingin
8,2011-01-01,springer,2011,1,7 am,not holiday,saturday,restday,clear & partly cloudy,0.2576,1,2,3,Dingin
9,2011-01-01,springer,2011,1,8 am,not holiday,saturday,restday,clear & partly cloudy,0.2879,1,7,8,Dingin
10,2011-01-01,springer,2011,1,9 am,not holiday,saturday,restday,clear & partly cloudy,0.3485,8,6,14,Sedang
11,2011-01-01,springer,2011,1,10 am,not holiday,saturday,restday,clear & partly cloudy,0.3939,12,24,36,Sedang
12,2011-01-01,springer,2011,1,11 am,not holiday,saturday,restday,clear & partly cloudy,0.3333,26,30,56,Sedang
13,2011-01-01,springer,2011,1,12 pm,not holiday,saturday,restday,clear & partly cloudy,0.4242,29,55,84,Sedang
14,2011-01-01,springer,2011,1,1 pm,not holiday,saturday,restday,mist & cloudy,0.4545,47,47,94,Sedang
15,2011-01-01,springer,2011,1,2 pm,not holiday,saturday,restday,mist & cloudy,0.4545,35,71,106,Sedang
16,2011-01-01,springer,2011,1,3 pm,not holiday,saturday,restday,mist & cloudy,0.4394,40,70,110,Sedang
17,2011-01-01,springer,2011,1,4 pm,not holiday,saturday,restday,mist & cloudy,0.4242,41,52,93,Sedang
18,2011-01-01,springer,2011,1,5 pm,not holiday,saturday,restday,mist & cloudy,0.4394,15,52,67,Sedang
19,2011-01-01,springer,2011,1,6 pm,not holiday,saturday,restday,light snow & light rain,0.4242,9,26,35,Sedang
20,2011-01-01,springer,2011,1,7 pm,not holiday,saturday,restday,light snow & light rain,0.4242,6,31,37,Sedang
21,2011-01-01,springer,2011,1,8 pm,not holiday,saturday,restday,mist & cloudy,0.4091,11,25,36,Sedang
22,2011-01-01,springer,2011,1,9 pm,not holiday,saturday,restday,mist & cloudy,0.4091,3,31,34,Sedang
23,2011-01-01,springer,2011,1,10 pm,not holiday,saturday,restday,mist & cloudy,0.4091,11,17,28,Sedang
24,2011-01-01,springer,2011,1,11 pm,not holiday,saturday,restday,mist & cloudy,0.4545,15,24,39,Sedang
25,2011-01-02,springer,2011,1,12 am,not holiday,sunday,restday,mist & cloudy,0.4545,4,13,17,Sedang
26,2011-01-02,springer,2011,1,1 am,not holiday,sunday,restday,mist & cloudy,0.4394,1,16,17,Sedang
27,2011-01-02,springer,2011,1,2 am,not holiday,sunday,restday,mist & cloudy,0.4242,1,8,9,Sedang
28,2011-01-02,springer,2011,1,3 am,not holiday,sunday,restday,mist & cloudy,0.4545,2,4,6,Sedang
29,2011-01-02,springer,2011,1,4 am,not holiday,sunday,restday,mist & cloudy,0.4545,2,1,3,Sedang
30,2011-01-02,springer,2011,1,6 am,not holiday,sunday,restday,light snow & light rain,0.4242,0,2,2,Sedang
31,2011-01-02,springer,2011,1,7 am,not holiday,sunday,restday,mist & cloudy,0.4091,0,1,1,Sedang
32,2011-01-02,springer,2011,1,8 am,not holiday,sunday,restday,light snow & light rain,0.4091,0,8,8,Sedang
33,2011-01-02,springer,2011,1,9 am,not holiday,sunday,restday,mist & cloudy,0.3939,1,19,20,Sedang
34,2011-01-02,springer,2011,1,10 am,not holiday,sunday,restday,mist & cloudy,0.3485,7,46,53,Sedang
35,2011-01-02,springer,2011,1,11 am,not holiday,sunday,restday,mist & cloudy,0.3333,16,54,70,Sedang
36,2011-01-02,springer,2011,1,12 pm,not holiday,sunday,restday,mist & cloudy,0.3333,20,73,93,Sedang
37,2011-01-02,springer,2011,1,1 pm,not holiday,sunday,restday,mist & cloudy,0.3485,11,64,75,Sedang
38,2011-01-02,springer,2011,1,2 pm,not holiday,sunday,restday,light snow & light rain,0.3485,4,55,59,Sedang
39,2011-01-02,springer,2011,1,3 pm,not holiday,sunday,restday,light snow & light rain,0.3333,19,55,74,Sedang
40,2011-01-02,springer,2011,1,4 pm,not holiday,sunday,restday,light snow & light rain,0.3333,9,67,76,Sedang
41,2011-01-02,springer,2011,1,5 pm,not holiday,sunday,restday,clear & partly cloudy,0.3333,7,58,65,Sedang
42,2011-01-02,springer,2011,1,6 pm,not holiday,sunday,restday,mist & cloudy,0.3333,10,43,53,Sedang
43,2011-01-02,springer,2011,1,7 pm,not holiday,sunday,restday,clear & partly cloudy,0.2879,1,29,30,Dingin
44,2011-01-02,springer,2011,1,8 pm,not holiday,sunday,restday,clear & partly cloudy,0.2727,5,17,22,Dingin
45,2011-01-02,springer,2011,1,9 pm,not holiday,sunday,restday,clear & partly cloudy,0.2273,11,20,31,Dingin
46,2011-01-02,springer,2011,1,10 pm,not holiday,sunday,restday,clear & partly cloudy,0.2121,0,9,9,Dingin
47,2011-01-02,springer,2011,1,11 pm,not holiday,sunday,restday,clear & partly cloudy,0.2273,0,8,8,Dingin
48,2011-01-03,springer,2011,1,12 am,not holiday,monday,workday,clear & partly cloudy,0.197,0,5,5,Dingin
49,2011-01-03,springer,2011,1,1 am,not holiday,monday,workday,clear & partly cloudy,0.1667,0,2,2,Dingin
50,2011-01-03,springer,2011,1,4 am,not holiday,monday,workday,clear & partly cloudy,0.1364,0,1,1,Dingin
51,2011-01-03,springer,2011,1,5 am,not holiday,monday,workday,clear & partly cloudy,0.1364,0,3,3,Dingin
52,2011-01-03,springer,2011,1,6 am,not holiday,monday,workday,clear & partly cloudy,0.1061,0,30,30,Dingin
53,2011-01-03,springer,2011,1,7 am,not holiday,monday,workday,clear & partly cloudy,0.1364,1,63,64,Dingin
54,2011-01-03,springer,2011,1,8 am,not holiday,monday,workday,clear & partly cloudy,0.1212,1,153,154,Dingin
55,2011-01-03,springer,2011,1,9 am,not holiday,monday,workday,clear & partly cloudy,0.1364,7,81,88,Dingin
56,2011-01-03,springer,2011,1,10 am,not holiday,monday,workday,clear & partly cloudy,0.1667,11,33,44,Dingin
57,2011-01-03,springer,2011,1,11 am,not holiday,monday,workday,clear & partly cloudy,0.1818,10,41,51,Dingin
58,2011-01-03,springer,2011,1,12 pm,not holiday,monday,workday,clear & partly cloudy,0.2121,13,48,61,Dingin
59,2011-01-03,springer,2011,1,1 pm,not holiday,monday,workday,clear & partly cloudy,0.2121,8,53,61,Dingin
60,2011-01-03,springer,2011,1,2 pm,not holiday,monday,workday,clear & partly cloudy,0.2424,11,66,77,Dingin
61,2011-01-03,springer,2011,1,3 pm,not holiday,monday,workday,clear & partly cloudy,0.2424,14,58,72,Dingin
62,2011-01-03,springer,2011,1,4 pm,not holiday,monday,workday,clear & partly cloudy,0.2424,9,67,76,Dingin
63,2011-01-03,springer,2011,1,5 pm,not holiday,monday,workday,clear & partly cloudy,0.2273,11,146,157,Dingin
64,2011-01-03,springer,2011,1,6 pm,not holiday,monday,workday,clear & partly cloudy,0.2576,9,148,157,Dingin
65,2011-01-03,springer,2011,1,7 pm,not holiday,monday,workday,clear & partly cloudy,0.2576,8,102,110,Dingin
66,2011-01-03,springer,2011,1,8 pm,not holiday,monday,workday,clear & partly cloudy,0.2273,3,49,52,Dingin
67,2011-01-03,springer,2011,1,9 pm,not holiday,monday,workday,clear & partly cloudy,0.197,3,49,52,Dingin
68,2011-01-03,springer,2011,1,10 pm,not holiday,monday,workday,clear & partly cloudy,0.1515,0,20,20,Dingin
69,2011-01-03,springer,2011,1,11 pm,not holiday,monday,workday,clear & partly cloudy,0.2121,1,11,12,Dingin
70,2011-01-04,springer,2011,1,12 am,not holiday,tuesday,workday,clear & partly cloudy,0.1818,0,5,5,Dingin
71,2011-01-04,springer,2011,1,1 am,not holiday,tuesday,workday,clear & partly cloudy,0.1818,0,2,2,Dingin
72,2011-01-04,springer,2011,1,2 am,not holiday,tuesday,workday,clear & partly cloudy,0.1515,0,1,1,Dingin
73,2011-01-04,springer,2011,1,4 am,not holiday,tuesday,workday,clear & partly cloudy,0.1818,0,2,2,Dingin
74,2011-01-04,springer,2011,1,5 am,not holiday,tuesday,workday,clear & partly cloudy,0.1515,0,4,4,Dingin
75,2011-01-04,springer,2011,1,6 am,not holiday,tuesday,workday,clear & partly cloudy,0.1515,0,36,36,Dingin
76,2011-01-04,springer,2011,1,7 am,not holiday,tuesday,workday,clear & partly cloudy,0.1515,2,92,94,Dingin
77,2011-01-04,springer,2011,1,8 am,not holiday,tuesday,workday,clear & partly cloudy,0.1515,2,177,179,Dingin
78,2011-01-04,springer,2011,1,9 am,not holiday,tuesday,workday,clear & partly cloudy,0.1515,2,98,100,Dingin
